Percentile,bias1(p),bias2(p),bias3(p),bias0ap(p),bias0mean(p)
1,-1.0,-2.714,-2.5,-8.0,-7.508029999999999
2,-0.75,-2.164,-2.0,-6.0,-6.5649999999999995
3,-0.6,-2.048,-2.0,-6.0,-6.0169999999999995
4,-0.5,-2.0,-2.0,-5.0,-5.620000000000001
5,-0.5,-1.5157875,-1.5,-5.0,-5.306000000000001
6,-0.4166666666666667,-1.2625000000000002,-1.2,-4.0,-5.0489999999999995
7,-0.375,-1.13125,-1.0,-4.0,-4.839
8,-0.3333333333333333,-1.0485000000000002,-1.0,-4.0,-4.645
9,-0.3333333333333333,-0.9815,-1.0,-3.0,-4.465999999999999
10,-0.3,-0.9115,-1.0,-3.0,-4.323
11,-0.2777777777777778,-0.8493333333333334,-0.8,-3.0,-4.190000000000001
12,-0.25,-0.7813333333333334,-0.75,-3.0,-4.0489999999999995
13,-0.25,-0.7172499999999999,-0.6666666666666666,-3.0,-3.9339999999999993
14,-0.2307692307692307,-0.67225,-0.6666666666666666,-3.0,-3.8329999999999984
15,-0.2142857142857142,-0.6389658653846163,-0.625,-2.0,-3.721
16,-0.2,-0.6065999999999999,-0.6,-2.0,-3.629999999999999
17,-0.1904761904761904,-0.5805,-0.5555555555555556,-2.0,-3.5380000000000003
18,-0.1818181818181818,-0.5529999999999999,-0.5,-2.0,-3.452
19,-0.1666666666666666,-0.5304166666666665,-0.5,-2.0,-3.373000000000001
20,-0.1666666666666666,-0.5083333333333334,-0.5,-2.0,-3.3000000000000007
21,-0.15,-0.4885999999999999,-0.5,-2.0,-3.242000000000001
22,-0.1428571428571428,-0.4688,-0.4444444444444444,-2.0,-3.1590000000000007
23,-0.1333333333333333,-0.4516,-0.4285714285714285,-2.0,-3.0820000000000007
24,-0.1304347826086956,-0.4333333333333333,-0.4,-1.0,-3.0169999999999995
25,-0.125,-0.4154999999999999,-0.4,-1.0,-2.966
26,-0.1111111111111111,-0.4016,-0.3888888888888889,-1.0,-2.9030000000000005
27,-0.1052631578947368,-0.3877142857142858,-0.375,-1.0,-2.8520000000000003
28,-0.1,-0.3758888888888888,-0.3571428571428571,-1.0,-2.787000000000001
29,-0.0909090909090909,-0.3640769230769231,-0.3333333333333333,-1.0,-2.7379999999999995
30,-0.0833333333333333,-0.35,-0.3333333333333333,-1.0,-2.683
31,-0.0833333333333333,-0.3385454545454545,-0.3333333333333333,-1.0,-2.6389999999999993
32,-0.0769230769230769,-0.3275384615384614,-0.3333333333333333,-1.0,-2.59
33,-0.0714285714285714,-0.3165384615384614,-0.3,-1.0,-2.5410000000000004
34,-0.0625,-0.3049375000000001,-0.2941176470588235,-1.0,-2.4840000000000018
35,-0.0555555555555555,-0.29475,-0.2857142857142857,-1.0,-2.4350000000000005
36,-0.05,-0.2856875000000001,-0.2777777777777778,-1.0,-2.3970000000000002
37,-0.0454545454545454,-0.2768333333333332,-0.2666666666666666,-1.0,-2.3550000000000004
38,-0.0416666666666666,-0.2677777777777778,-0.25,-1.0,-2.317
39,-0.04,-0.259,-0.25,-1.0,-2.279
40,0.0,-0.2517142857142858,-0.25,0.0,-2.2460000000000004
41,0.0,-0.243875,-0.2307692307692307,0.0,-2.21
42,0.0,-0.2368431578947368,-0.2222222222222222,0.0,-2.1639999999999997
43,0.0,-0.2294999999999999,-0.2222222222222222,0.0,-2.1310000000000002
44,0.0,-0.2220955023923443,-0.2105263157894736,0.0,-2.0980000000000008
45,0.0,-0.2142857142857142,-0.2,0.0,-2.068999999999999
46,0.0,-0.2063333333333334,-0.2,0.0,-2.048
47,0.0,-0.1988666666666667,-0.1904761904761904,0.0,-2.016
48,0.0,-0.1912222222222222,-0.1818181818181818,0.0,-2.0
49,0.0,-0.1841874999999999,-0.1764705882352941,0.0,-2.0
50,0.0,-0.1769999999999999,-0.1666666666666666,0.0,-1.9509999999999996
51,0.0,-0.1699999999999999,-0.1666666666666666,0.0,-1.9059999999999988
52,0.0,-0.1635714285714285,-0.1578947368421052,0.0,-1.8710000000000004
53,0.0,-0.1570833333333333,-0.1538461538461538,0.0,-1.823
54,0.0,-0.1507999999999999,-0.1428571428571428,0.0,-1.7699999999999996
55,0.0,-0.1440666666666667,-0.1428571428571428,0.0,-1.726
56,0.0,-0.13825,-0.1363636363636363,0.0,-1.6719999999999997
57,0.0,-0.1321999999999999,-0.125,0.0,-1.6289999999999996
58,0.0,-0.1258,-0.125,0.0,-1.5809999999999995
59,0.0,-0.1197619047619047,-0.1176470588235294,0.0,-1.5250000000000004
60,0.0,-0.1136499999999999,-0.1111111111111111,0.0,-1.4669999999999987
61,0.0,-0.1078421052631578,-0.1052631578947368,0.0,-1.4139999999999997
62,0.0,-0.1016,-0.1,0.0,-1.3560000000000016
63,0.0,-0.096590909090909,-0.1,0.0,-1.306
64,0.0,-0.0909090909090909,-0.0952380952380952,0.0,-1.2579999999999991
65,0.0,-0.08569576923076766,-0.0909090909090909,0.0,-1.193999999999999
66,0.0,-0.0795454545454545,-0.0869565217391304,0.0,-1.129
67,0.0416666666666666,-0.0743636363636363,-0.0833333333333333,1.0,-1.0650000000000013
68,0.0454545454545454,-0.0684374999999999,-0.0714285714285714,1.0,-1.0
69,0.05,-0.06321678571428595,-0.0666666666666666,1.0,-0.9369999999999994
70,0.0555555555555555,-0.0575238095238094,-0.0588235294117647,1.0,-0.8689999999999998
71,0.0625,-0.0521764705882353,-0.0526315789473684,1.0,-0.7870000000000008
72,0.0714285714285714,-0.0460588235294118,-0.0476190476190476,1.0,-0.7079999999999984
73,0.0769230769230769,-0.041,-0.0454545454545454,1.0,-0.6320000000000014
74,0.0869565217391304,-0.0347542307692307,-0.0434782608695652,1.0,-0.5559999999999992
75,0.0909090909090909,-0.0294117647058823,-0.0416666666666666,1.0,-0.46699999999999964
76,0.1,-0.0238095238095238,0.0,1.0,-0.383
77,0.1111111111111111,-0.0181249999999999,0.0,1.0,-0.2986199999999944
78,0.1176470588235294,-0.0126363636363635,0.0,1.0,-0.21999999999999886
79,0.125,-0.0066,0.0,1.0,-0.11499999999999844
80,0.1428571428571428,0.0,0.0,1.0,0.0
81,0.1428571428571428,0.0051213325037093,0.0,1.0,0.08200000000000074
82,0.1578947368421052,0.0114291493880853,0.0,2.0,0.1999999999999993
83,0.1666666666666666,0.0178117048346056,0.0,2.0,0.3230000000000004
84,0.1818181818181818,0.0241339389081842,0.0,2.0,0.43900000000000006
85,0.2,0.0309278350515463,0.0,2.0,0.565999999999999
86,0.2,0.0376276555076183,0.0416666666666666,2.0,0.6940000000000003
87,0.2222222222222222,0.0445227836532184,0.0434782608695652,2.0,0.8249999999999993
88,0.25,0.0527898932170251,0.0454545454545454,2.0,0.9840000000000018
89,0.25,0.0615221304287625,0.0526315789473684,2.0,1.125
90,0.2727272727272727,0.0700909577314071,0.0638297872340425,3.0,1.2979999999999983
91,0.3,0.0793793568697999,0.0833333333333333,3.0,1.471
92,0.3333333333333333,0.088091922005571,0.0909090909090909,3.0,1.6560000000000006
93,0.3333333333333333,0.1,0.1,3.0,1.8419999999999987
94,0.4,0.11339843547785798,0.1111111111111111,4.0,2.056000000000001
95,0.4545454545454545,0.1290249740324255,0.1363636363636363,4.0,2.3230000000000004
96,0.5,0.1487100942899535,0.1578947368421052,4.0,2.6119999999999983
97,0.5714285714285714,0.1755485893416928,0.1904761904761904,5.0,3.0
98,0.7142857142857143,0.2153777266039788,0.25,5.0,3.533999999999999
99,1.0,0.2931731235519154,0.3333333333333333,7.0,4.4239999999999995
